period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
01-03-2015,31-03-2015,30,national,11,1400,t, National,National,U.S.,US,Condo/Co-op,3,199515.4527,0.009102522,0.061344748,211160.1367,0.002267235,0.074000187,172.2541332,0.030110044,0.079534793,181.1550998,0.009997852,0.065240152,53922.29918,0.021072763,0.06662816,66258.29064,0.012879776,0.183472668,71133.46943,0.063225479,0.054108531,208249.4026,0.009085838,-0.026350029,4.118283381,-0.154921081,-0.437796178,54.95205464,-3,-5,0.972183142,0.000289968,0.001670537,0.173245859,0.003140195,-0.005617838,0.098026482,0.008667179,0.030897834,0.237261807,0.010095254,0.025707651,,,16-12-2024 00:00
01-04-2021,30-04-2021,30,national,11,1400,t, National,National,U.S.,US,All Residential,-1,362223.3569,0.025823562,0.208032955,364748.8182,0.008620961,0.18555266,197.97524,0.031594777,0.246100156,198.189533,0.008731084,0.211181795,584540.1659,-0.004958093,0.374961124,644294.4736,-0.024280218,0.572006354,655126.7492,0.067284853,0.439198613,799144.8121,-0.039171679,-0.404174348,1.406595393,0.003245639,-1.858668002,23.00696487,0,-17,1.009985408,0.004800003,0.026824349,0.44270838,0.019088698,0.185199339,0.085637514,-0.005497947,-0.034656702,0.529480201,-0.013958059,0.219556684,,,16-12-2024 00:00
01-06-2018,30-06-2018,30,national,11,1400,t, National,National,U.S.,US,All Residential,-1,280634.0244,0.000581774,0.058826841,295101.9231,0.00408818,0.061983199,152.3192051,0.005296241,0.063763094,157.3131038,0.005108327,0.068729476,524666.9303,-0.001762926,0.00269167,598672.5377,-0.010138939,-0.000967142,637377.4501,-0.033891967,0.001657442,1523205.459,0.012480512,-0.038381598,2.864043118,-0.001670892,-0.115122055,39.97835374,-1,-5,0.983000664,-0.000222525,0.001688129,0.255974215,-0.001145469,0.008579964,0.13950519,0.00349335,0.021188216,0.357622332,-0.004676745,0.027106965,,,16-12-2024 00:00
01-02-2021,28-02-2021,30,national,11,1400,f, National,National,U.S.,US,Condo/Co-op,3,282309,0.003544264,0.06818643,321449,0.046138132,0.117625726,252,0.007979567,0.090868441,286,0.034948094,0.134811889,54217,0.098471801,0.198625875,75867,0.055436286,0.142279422,68577,0.007040913,-0.009173656,133847,-0.040858886,-0.146361225,2.468728346,-0.358622533,-0.997704717,44,-2,-7,0.985896286,0.003751555,0.007337533,0.247937038,0.041852243,0.067864449,0.077637301,-0.015024133,-0.020490117,0.440600414,0.06538109,0.04958497,,,16-12-2024 14:09
01-04-2012,30-04-2012,30,national,11,1400,t, National,National,U.S.,US,Single Family Residential,6,183613.9885,0.012828536,,196760.3141,-0.000471719,,94.9692661,0.00988879,,101.5991249,0.001521103,,310245.8122,0.009482141,,359429.9972,-0.030478894,,403003.2207,-0.033016298,,1702400.524,-0.01176731,,5.50171804,-0.146420531,,83.30510411,-1,,0.963195218,2.59E-05,,0.185284392,-0.005193173,,0.059128852,-0.005409083,,0.123471645,0.002117389,,,,16-12-2024 00:00
01-07-2014,31-07-2014,30,national,11,1400,t, National,National,U.S.,US,All Residential,-1,218303.0482,0.008069644,0.045995827,231129.2154,0.002965767,0.063368435,119.3322217,0.01401336,0.053492689,124.3482611,0.006436556,0.051016217,442365.4295,0.009339886,-0.027946837,508123.6745,-0.049325865,-0.05208191,587623.4894,0.008054074,0.032957237,1980011.294,0.025248053,0.063302656,4.37731281,-0.0073171,0.289561887,56.35847899,-2,-7,0.972212611,0.000474974,-0.003437914,0.189217294,-0.001681983,-0.035980689,0.080809666,-0.005068269,0.027119488,0.188839201,0.002765572,0.011744845,,,16-12-2024 00:00
01-11-2019,30-11-2019,30,national,11,1400,t, National,National,U.S.,US,All Residential,-1,297556.398,0.005610232,0.053622418,310453.9492,0.007154237,0.038076441,159.8765344,0.002348822,0.047113391,165.7826448,0.009109179,0.03284367,529541.0982,0.012667597,0.046364747,631127.472,0.017287441,0.0872326,609049.1337,-0.026080712,-0.030830829,1483262.272,-0.020176716,-0.060852452,2.846037188,-0.03948066,-0.33808176,43.48830712,-1,-1,0.984836866,0.000931909,0.002093387,0.236036702,0.0031246,0.00940077,0.128696891,-0.013347939,-0.015744295,0.349232292,-0.001700817,0.020680487,,,16-12-2024 00:00
01-11-2022,30-11-2022,30,national,11,1400,t, National,National,U.S.,US,Single Units Only,-2,402037.6253,-0.001789233,0.03143292,413168.6309,0.000106583,0.044753967,221.013379,-0.002784896,0.03479517,226.7976938,0.005589494,0.04795879,420493.4047,-0.065118999,-0.324342754,460778.1563,-0.029752638,-0.330813087,501682.1127,-0.018941669,-0.225496808,1121547.536,0.018690827,0.426173605,2.740245289,0.245412753,1.475613118,36.09788493,1,15,0.988872519,-0.002481085,-0.021900001,0.293777407,-0.012561914,-0.202111756,0.177962892,-0.007497395,0.093055081,0.39304945,-0.016909527,-0.214930469,,,16-12-2024 00:00
01-11-2022,30-11-2022,30,national,11,1400,t, National,National,U.S.,US,Single Family Residential,6,418836.9157,-0.002053088,0.027915011,431283.5884,0.00090332,0.045804675,214.4429241,-0.00595155,0.035593239,220.4492061,0.002123753,0.047208611,330760.0835,-0.08439178,-0.318370217,364740.1229,-0.027183603,-0.319128726,392018.0092,-0.029510444,-0.222644224,885176.4645,0.015976684,0.49069505,2.615267501,0.21348752,1.42118482,36.52870051,1,16,0.989991487,-0.002171499,-0.023550963,0.299137821,-0.011832404,-0.217240932,0.183454005,-0.007300982,0.098346381,0.386358527,-0.017730378,-0.228328571,,,16-12-2024 00:00
01-04-2015,30-04-2015,30,national,11,1400,t, National,National,U.S.,US,All Residential,-1,230665.4647,0.006596146,0.073327346,242080.6176,0.004550543,0.059218492,124.3935385,0.011125398,0.058299547,129.3396681,0.002946734,0.054874781,470656.3006,-0.003405106,0.111398584,592032.2815,0.012360429,0.129443341,662352.8542,0.083840458,0.090347596,1931035.414,0.014083312,0.014515133,4.146107748,-0.052577202,-0.426264795,58.97965256,-1,-4,0.974754572,-3.03E-05,0.002635503,0.20740721,0.005241592,0.008898384,0.110788584,0.003669897,0.023516516,0.230359925,0.012529065,0.046914133,,,16-12-2024 00:00
01-01-2019,31-01-2019,30,national,11,1400,t, National,National,U.S.,US,Single Family Residential,6,293163.1374,0.011021624,0.036235593,309891.7883,0.00864087,0.042660587,149.32194,0.014347411,0.042261591,154.5058269,0.008082979,0.041248816,387789.2163,0.004425882,-0.065591641,472452.2711,0.035804879,-5.58E-05,493305.5981,0.031907743,0.039886157,1251940.035,0.006487528,0.081890832,3.473687663,0.086058225,0.517099686,47.67076624,1,4,0.982513039,-0.000426806,-0.003054192,0.221778893,-0.004657764,-0.03232285,0.154207784,0.012758772,0.029639585,0.327092443,0.000790513,-0.02466963,,,16-12-2024 00:00
01-04-2016,30-04-2016,30,national,11,1400,t, National,National,U.S.,US,Condo/Co-op,3,215629.342,0.011848072,0.075937052,227435.6112,-0.016337319,0.053894852,185.0805068,0.006203287,0.074755381,195.0501305,-0.001831329,0.069427835,57343.66017,0.055418691,0.052165608,72246.1265,0.024963435,0.082048784,70360.48432,-0.013369209,-0.017410409,192908.0043,-0.006861201,-0.085717097,3.378436326,-0.432798738,-0.640812308,47.06687807,0,-6,0.976259964,-0.000293325,0.003725474,0.196342286,-0.006945215,0.014641541,0.10139147,-0.000768836,0.004883498,0.275993371,0.003983033,0.03428502,,,16-12-2024 00:00
